Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Process_2,Success,1,0,2024-02-21 17:10:42 +0900,2024-02-21 17:10:42 +0900,0:00:10
Process_1,Success,4,0,2024-02-20 13:39:54 +0900,2024-02-21 17:10:29 +0900,0:00:03
