Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-02-20 13:39:54.873 +0900,"Success",0:00:00,0,0,0,"20240220_133954.873/LogFile.txt","","",1
2024-02-21 17:09:24.408 +0900,"Success",0:00:05,0,0,0,"20240221_170924.408/LogFile.txt","","",1
2024-02-21 17:09:42.028 +0900,"Success",0:00:01,0,0,0,"20240221_170942.028/LogFile.txt","","",1
2024-02-21 17:10:29.134 +0900,"Success",0:00:06,0,0,0,"20240221_171029.134/LogFile.txt","","",1
